avaliacao,perda_validacao,acuracia_validacao,f1_macro_validacao,tempo_segundos,canais_primeira_camada,canais_segunda_camada,canais_terceira_camada,neuronios_camada_densa,dropout,tamanho_lote,taxa_aprendizado,decaimento_pesos
1,0.205836056430,0.931896551724,0.931831975203,5.246599,16,32,64,64,0.200000000000,128,0.001000000000,0.000100000000
2,0.485392448203,0.818103448276,0.813871449730,5.418779,8,16,32,96,0.150493870613,128,0.000141219665,0.000024870031
3,0.339128128825,0.852586206897,0.854377691807,5.494046,16,32,64,64,0.451197396215,64,0.000427835267,0.000004418406
4,0.104579678255,0.949137931034,0.949199883068,18.790832,24,48,96,128,0.373732692824,32,0.000622876846,0.000990398866
5,0.217209444169,0.931896551724,0.931487940025,8.523796,32,64,128,128,0.030499747575,128,0.001624740313,0.000202714641
6,0.072495603638,0.977586206897,0.977581093905,17.808550,32,64,128,96,0.278509709438,32,0.000781904328,0.000003501881
7,0.236546802007,0.926724137931,0.926802026373,5.068647,16,32,64,64,0.378687187585,256,0.002289298886,0.000009118887
8,0.104583531817,0.967241379310,0.967082891273,10.096447,24,48,96,64,0.211043816374,64,0.003787019998,0.000001893615
9,0.336056255883,0.893103448276,0.892630516053,14.865293,24,48,96,32,0.461439610153,64,0.000112995162,0.002768901157
10,0.323819658006,0.847413793103,0.849449235701,8.019572,16,32,64,96,0.090909373634,128,0.000251920035,0.000243921014
11,0.267724755458,0.904310344828,0.905413733003,6.723451,8,16,32,64,0.174986407590,64,0.002962983839,0.000783213176
12,0.200463854856,0.928448275862,0.928088233542,5.849633,16,32,64,96,0.302449165900,256,0.000992060993,0.000060046500
13,0.203816559808,0.938793103448,0.938625217510,14.371498,32,64,128,96,0.278509709438,64,0.000423712648,0.000003501881
14,0.401335797330,0.876724137931,0.875972457909,9.867979,8,16,32,96,0.238429899729,64,0.000141219665,0.000024870031
15,0.204159055342,0.934482758621,0.934151912047,9.921241,24,48,96,64,0.382205256625,64,0.001462328371,0.000004418406
16,0.399608541563,0.854310344828,0.853427615535,6.351081,24,48,96,96,0.234424759197,64,0.000630974946,0.000014814488
17,0.100165196662,0.972413793103,0.972316073226,9.335633,24,48,96,128,0.120173523866,128,0.004756845812,0.000001742447
18,0.140203570677,0.942241379310,0.942170293047,9.520710,16,32,64,64,0.200000000000,64,0.001000000000,0.000100000000
19,0.113847454046,0.962931034483,0.962926259152,8.253553,24,48,96,64,0.322594659679,64,0.002289298886,0.000402343353
20,0.155488271343,0.936206896552,0.935877718186,11.754904,32,64,128,64,0.423346997667,32,0.000407376095,0.000001893615
21,0.435745595652,0.845689655172,0.845089513214,15.312724,24,48,96,96,0.284614147242,64,0.000112995162,0.002358684862
22,0.458449375629,0.830172413793,0.825923753715,10.126589,24,48,96,96,0.231987879935,64,0.000167662560,0.000065185918
23,0.063303386532,0.982758620690,0.982753493904,12.244126,24,48,96,96,0.174986407590,64,0.002962983839,0.000188310162
24,0.381624892046,0.864655172414,0.862754274359,7.430307,24,48,96,96,0.302449165900,64,0.000992060993,0.000060046500
25,0.080899430124,0.978448275862,0.978388296760,12.176616,24,48,96,96,0.089254987098,64,0.004362431567,0.000003063683
26,0.196502616809,0.927586206897,0.927657082072,9.615017,16,32,64,96,0.139966948473,64,0.000543411473,0.000128183805
27,0.038901053343,0.982758620690,0.982753493904,12.124193,32,64,128,96,0.050112127020,32,0.001865628873,0.000337279011
28,0.352031037622,0.880172413793,0.879688438378,6.535380,24,48,96,96,0.007986166842,64,0.000622876846,0.000009225634
29,0.336335055581,0.885344827586,0.884130715777,7.956397,24,48,96,32,0.190701294920,128,0.000421869930,0.001474780025
30,0.137239060702,0.965517241379,0.965569381787,7.679794,8,16,32,128,0.072602832555,32,0.003911126458,0.000007561902
31,0.133473660463,0.962068965517,0.961962712032,11.061141,24,48,96,32,0.322594659679,64,0.001917444870,0.000001998721
32,0.513819402662,0.825000000000,0.824352673316,6.323340,8,16,32,32,0.211043816374,128,0.000351336382,0.000001956570
33,0.370467338069,0.865517241379,0.864689613354,14.321192,24,48,96,32,0.461439610153,64,0.000112995162,0.000005894765
34,0.232932616924,0.914655172414,0.914041578433,4.154787,16,32,64,64,0.473624288692,256,0.002408569954,0.000023673273
35,0.128212912638,0.965517241379,0.965506987809,10.252097,24,48,96,64,0.173794762863,64,0.003214625778,0.000006283989
36,0.105185658549,0.966379310345,0.966192252843,6.890790,16,32,64,64,0.302449165900,128,0.002270296675,0.000060046500
